"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","model","partition"
"word1","|","t3",-0.475677423895018,0.0744293204055093,-6.39099512535396,1.6480972142574e-10,-0.621556211283608,-0.329798636506428,-0.475677423895018,-0.475677423895018,"two_factor_four","validation"
"word1","|","t4",0.935531295081454,0.0840184016154289,11.1348380484979,0,0.770858253876591,1.10020433628632,0.935531295081454,0.935531295081454,"two_factor_four","validation"
"word2","|","t1",-1.86118702496097,0.145987740932092,-12.7489268145243,0,-2.14731773937224,-1.57505631054971,-1.86118702496097,-1.86118702496097,"two_factor_four","validation"
"word2","|","t2",-1.69228138961896,0.129029120379146,-13.1154996999612,0,-1.94517381851897,-1.43938896071895,-1.69228138961896,-1.69228138961896,"two_factor_four","validation"
"word2","|","t3",-0.342855305390327,0.0757054107676198,-4.52880846842945,5.93172367335804e-06,-0.491235183929672,-0.194475426850981,-0.342855305390327,-0.342855305390327,"two_factor_four","validation"
"word2","|","t4",1.25615650340623,0.0998024317559885,12.5864318264054,0,1.06054733159498,1.45176567521749,1.25615650340623,1.25615650340623,"two_factor_four","validation"
"word3","|","t1",-1.76287201506288,0.151184031094941,-11.6604379595873,0,-2.05918727104655,-1.46655675907921,-1.76287201506288,-1.76287201506288,"two_factor_four","validation"
"word3","|","t2",-1.39008797452971,0.119267981749328,-11.6551647319004,0,-1.62384892326717,-1.15632702579225,-1.39008797452971,-1.39008797452971,"two_factor_four","validation"
"word3","|","t3",-0.114185294321428,0.0827917370757494,-1.37918708260651,0.167837079728393,-0.276454117207406,0.0480835285645499,-0.114185294321428,-0.114185294321428,"two_factor_four","validation"
"word3","|","t4",1.33517773611894,0.115798634258407,11.5301682499939,0,1.10821658351353,1.56213888872434,1.33517773611894,1.33517773611894,"two_factor_four","validation"
"tol1","~~","tol1",0.564619433900697,0,,,0.564619433900697,0.564619433900697,0.564619433900697,0.564619433900697,"two_factor_four","validation"
"tol2","~~","tol2",0.384424307316381,0,,,0.384424307316381,0.384424307316381,0.384424307316381,0.384424307316381,"two_factor_four","validation"
"tol3","~~","tol3",0.9910226962466,0,,,0.9910226962466,0.9910226962466,0.9910226962466,0.9910226962466,"two_factor_four","validation"
"tol4","~~","tol4",0.855177321225373,0,,,0.855177321225373,0.855177321225373,0.855177321225373,0.855177321225373,"two_factor_four","validation"
"ic1","~~","ic1",0.680724629046037,0,,,0.680724629046037,0.680724629046037,0.680724629046037,0.680724629046037,"two_factor_four","validation"
"word1","~~","word1",0.920522352372502,0,,,0.920522352372502,0.920522352372502,0.920522352372502,0.920522352372502,"two_factor_four","validation"
"word2","~~","word2",0.984876029083346,0,,,0.984876029083346,0.984876029083346,0.984876029083346,0.984876029083346,"two_factor_four","validation"
"word3","~~","word3",0.908721308462895,0,,,0.908721308462895,0.908721308462895,0.908721308462895,0.908721308462895,"two_factor_four","validation"
"Tolerance","~~","Tolerance",1,0,,,1,1,1,1,"two_factor_four","validation"
"Intangible","~~","Intangible",1,0,,,1,1,1,1,"two_factor_four","validation"
"Tolerance","~~","Intangible",0.816690542774486,0.162032350156118,5.04029313891705,4.64819312373521e-07,0.499112972138112,1.13426811341086,0.816690542774486,0.816690542774486,"two_factor_four","validation"
"tol1","~*~","tol1",1,0,,,1,1,1,1,"two_factor_four","validation"
"tol2","~*~","tol2",1,0,,,1,1,1,1,"two_factor_four","validation"
"tol3","~*~","tol3",1,0,,,1,1,1,1,"two_factor_four","validation"
"tol4","~*~","tol4",1,0,,,1,1,1,1,"two_factor_four","validation"
"ic1","~*~","ic1",1,0,,,1,1,1,1,"two_factor_four","validation"
"word1","~*~","word1",1,0,,,1,1,1,1,"two_factor_four","validation"
"word2","~*~","word2",1,0,,,1,1,1,1,"two_factor_four","validation"
"word3","~*~","word3",1,0,,,1,1,1,1,"two_factor_four","validation"
"tol1","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"tol2","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"tol3","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"tol4","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"ic1","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"word1","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"word2","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"word3","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"Tolerance","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"Intangible","~1","",0,0,,,0,0,0,0,"two_factor_four","validation"
"Tolerance","=~","tol1",0.629492785005045,0.0521591521516309,12.0686928187609,0,0.527262725323703,0.731722844686386,0.629492785005045,0.629492785005045,"two_factor_three","validation"
"Tolerance","=~","tol2",0.825510109784788,0.0611891182984922,13.4911260815655,0,0.705581641673982,0.945438577895593,0.825510109784788,0.825510109784788,"two_factor_three","validation"
"Tolerance","=~","tol4",0.387424935631987,0.0603321748715184,6.42153107288168,1.34910527194165e-10,0.269176045774838,0.505673825489135,0.387424935631987,0.387424935631987,"two_factor_three","validation"
"Intangible","=~","ic1",-0.572215733139326,0.111172831255836,-5.1470824901681,2.64569002705883e-07,-0.790110478460113,-0.354320987818539,-0.572215733139326,-0.572215733139326,"two_factor_three","validation"
"Intangible","=~","word1",-0.280063057399623,0.079123575524432,-3.53956523758389,0.000400786697743349,-0.435142415755545,-0.124983699043702,-0.280063057399623,-0.280063057399623,"two_factor_three","validation"
