"replicate","direct","indirect_IC","indirect_PS","total","IC_to_Tol","PS_to_Tol","IB_to_Tol","TC_to_Tol","interaction","interaction_f2","failure"
17,-0.15909148594468,-0.0412872691481809,0.0247574884513354,-0.175621266641526,-0.382121281977029,0.0661210547087565,0.212682244133012,0.0653190890462553,0.16479278872717,0.00729680956005945,""
18,-0.171640413629395,-0.0293202957416845,0.0142821715736589,-0.186678537797421,-0.352150883662794,0.0450571080267713,0.255716250952539,0.0682013048370061,0.273718990988135,0.0219568724045556,""
19,-0.11498823802059,-0.0427836998977073,0.0512561474032869,-0.106515790515011,-0.344542272482789,0.163765051073043,0.163869034723289,0.0208340686589208,0.0848326930889184,0.0019041750581725,""
20,-0.155967959293964,-0.00264992427249522,0.00849069500289152,-0.150127188563568,-0.411008004727343,0.0234747488190949,0.172017787349059,0.0802241169179295,0.200060538235373,0.0119483551748743,""
21,-0.153149622028406,-0.0450154436660015,0.00824797610543628,-0.189917089588971,-0.343198562915838,0.0204682386635123,0.235293848261415,0.0440113197509432,0.0296331595150204,0.00024718890033747,""
22,-0.121699387233847,-0.0500929255914329,0.0250729729668893,-0.146719339858391,-0.398260423101816,0.0778181712061238,0.124091652349889,0.040145950727479,0.132327707339105,0.00497675952429757,""
23,-0.112163982344889,0.014110101436766,0.00520696840696999,-0.0928469125011532,-0.381124655188009,0.0172021043930638,0.0982961410640397,0.0522918873003829,0.0490622662541598,0.000676061012438421,""
24,-0.102693962038262,-0.049860314258961,0.0267092516202264,-0.125845024676997,-0.403752599764111,0.0732987808434919,0.194497155920055,0.123545476394175,0.214367596500083,0.0125656065804848,""
25,-0.161968135219367,-0.0407971108003072,0.0166018827225993,-0.186163363297075,-0.402975004553608,0.0498272658897519,0.21982570221508,0.0603674874016174,0.16184347083306,0.00736444710683951,""
26,-0.159643895985245,-0.0519765693620395,0.0231015228176813,-0.188518942529603,-0.368845830380465,0.0660581552818289,0.205024542515821,0.00904593374950767,0.111499689067002,0.00384471648334806,""
27,-0.13468846698583,-0.0804595044431928,0.0441244863204503,-0.171023485108572,-0.464897405867433,0.107829123962008,0.22019498415,0.0663978759002096,0.030557978212151,0.000253286744526353,""
28,-0.172048801202837,-0.0454263303795181,0.0366150097484059,-0.180860121833949,-0.412425855591854,0.0961049973558961,0.196304661971899,0.0614568903729596,0.216942369462188,0.0145285389200112,""
