"outcome","adjustment","category","p_no_application","p_application","difference"
"tol3","background","3",0.168429724698891,0.170247761828507,0.0018180371296167
"tol3","background","4",0.295695158740431,0.30746693695513,0.0117717782146991
"tol3","background","5",0.0282903267219461,0.0301414989780923,0.00185117225614616
"tol3","resources","1",0.0391849156587998,0.0356160979688022,-0.00356881768999761
"tol3","resources","2",0.472778170049864,0.453284063502563,-0.0194941065473019
"tol3","resources","3",0.168344113575683,0.171108774096934,0.00276466052125048
"tol3","resources","4",0.291923138344984,0.309437273412028,0.0175141350670442
"tol3","resources","5",0.0277696623706689,0.0305537910196736,0.00278412864900475
"tol3","explanatory","1",0.0411210314672094,0.0332171933583194,-0.00790383810889005
"tol3","explanatory","2",0.48411197814561,0.442255059242671,-0.0418569189029398
"tol3","explanatory","3",0.168682284835994,0.174553264027168,0.00587097919117354
"tol3","explanatory","4",0.279999221805738,0.317691563849934,0.0376923420441964
"tol3","explanatory","5",0.0260854837454481,0.032282919521908,0.00619743577645987
"tol4","unadjusted","1",0.251045378593061,0.251409708139913,0.000364329546852504
"tol4","unadjusted","2",0.38396946246652,0.38405390180263,8.44393361101314e-05
"tol4","unadjusted","3",0.118434268681402,0.118345103847644,-8.9164833758093e-05
"tol4","unadjusted","4",0.240145124452076,0.23979783562777,-0.000347288824305458
"tol4","unadjusted","5",0.00640576580694119,0.0063934505820421,-1.23152248990843e-05
"tol4","background","1",0.225426090102148,0.280857590339917,0.0554315002377696
"tol4","background","2",0.372540299321136,0.384126784117969,0.011586484796833
"tol4","background","3",0.125618031936201,0.112797017444399,-0.0128210144918024
"tol4","background","4",0.26899841273658,0.216733933249123,-0.0522644794874565
"tol4","background","5",0.00741716590393475,0.00548467484859103,-0.00193249105534372
"tol4","resources","1",0.220695057866425,0.286133465094332,0.0654384072279061
"tol4","resources","2",0.368901578937071,0.382251065434087,0.0133494864970163
"tol4","resources","3",0.127128723351714,0.112229215726838,-0.0148995076248769
"tol4","resources","4",0.275620693288254,0.214043418291727,-0.0615772749965274
"tol4","resources","5",0.00765394655653509,0.00534283545301696,-0.00231111110351813
"tol4","explanatory","1",0.223355161533877,0.289778971330799,0.066423809796922
"tol4","explanatory","2",0.372715119593682,0.382945332041494,0.0102302124478122
"tol4","explanatory","3",0.123965530629201,0.109774122607317,-0.0141914080218839
"tol4","explanatory","4",0.271677563493302,0.211916649409435,-0.0597609140838669
"tol4","explanatory","5",0.00828662474993892,0.0055849246109555,-0.00270170013898342
