"ID","field","original","derived","reason"
588,"word3","0",,"Zero encodes missing descriptive word"
589,"word3","0",,"Zero encodes missing descriptive word"
605,"word3","0",,"Zero encodes missing descriptive word"
632,"word3","0",,"Zero encodes missing descriptive word"
634,"word3","0",,"Zero encodes missing descriptive word"
635,"word3","0",,"Zero encodes missing descriptive word"
636,"word3","0",,"Zero encodes missing descriptive word"
637,"word3","0",,"Zero encodes missing descriptive word"
638,"word3","0",,"Zero encodes missing descriptive word"
639,"word3","0",,"Zero encodes missing descriptive word"
1,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
3,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
4,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
5,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
6,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
8,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
9,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
12,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
13,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
14,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
19,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
20,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
24,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
25,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
27,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
29,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
31,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
32,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
33,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
34,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
35,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
36,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
40,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
41,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
43,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
44,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
45,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
